"code","inclusion_notes","exclusion_notes"
"A158","Tuberculose (de) :
• médiastinale avec confirmation bactériologique et histologique 
• nasale avec confirmation bactériologique et histologique 
• rhinopharyngée avec confirmation bactériologique et histologique 
• sinus de la face avec confirmation bactériologique et histologique",""
"A160","Bronchectasie tuberculeuse  avec examens bactériologique et histologique négatifs
Fibrose tuberculeuse  avec examens bactériologique et histologique négatifs
Pneumopathie tuberculeuse  avec examens bactériologique et histologique négatifs
Pneumothorax tuberculeux  avec examens bactériologique et histologique négatifs",""
"A161","Toute maladie classée en A16.0, examens bactériologique et histologique non effectués",""
"A162","Bronchectasie tuberculeuse  SAI (sans mention de confirmation bactériologique ou histologique)
Fibrose tuberculeuse  SAI (sans mention de confirmation bactériologique ou histologique)
Pneumopathie tuberculeuse  SAI (sans mention de confirmation bactériologique ou histologique)
Pneumothorax tuberculeux  SAI (sans mention de confirmation bactériologique ou histologique)
Tuberculose pulmonaire  SAI (sans mention de confirmation bactériologique ou histologique)",""
"A163","Tuberculose ganglionnaire :
• hilaire SAI (sans mention de confirmation bactériologique ou histologique) 
• intrathoracique SAI (sans mention de confirmation bactériologique ou histologique) 
• médiastinale SAI (sans mention de confirmation bactériologique ou histologique) 
• trachéobronchique SAI (sans mention de confirmation bactériologique ou histologique)","précisée comme primo-infection [A16.7]"
"A164","Tuberculose de :
• bronches SAI (sans mention de confirmation bactériologique ou histologique) 
• glotte SAI (sans mention de confirmation bactériologique ou histologique) 
• larynx SAI (sans mention de confirmation bactériologique ou histologique) 
• trachée SAI (sans mention de confirmation bactériologique ou histologique)",""
"A165","Empyème tuberculeux  SAI (sans mention de confirmation bactériologique ou histologique)
Pleurésie tuberculeuse  SAI (sans mention de confirmation bactériologique ou histologique)
Tuberculose de la plèvre  SAI (sans mention de confirmation bactériologique ou histologique)","primo-infection tuberculeuse de l'appareil respiratoire [A16.7]"
"A167","Complexe primaire tuberculeux
Primo-infection tuberculeuse de l'appareil respiratoire SAI",""
"A168","Tuberculose (de) :
• médiastinale SAI (sans mention de confirmation bactériologique ou histologique) 
• nasale SAI (sans mention de confirmation bactériologique ou histologique) 
• rhinopharyngée SAI (sans mention de confirmation bactériologique ou histologique) 
• sinus de la face SAI (sans mention de confirmation bactériologique ou histologique)",""
"A169","Tuberculose (de) :
 - SAI
 - appareil respiratoire SAI",""
"A170","Leptoméningite tuberculeuse
Tuberculose méningée (cérébrale) (médullaire)",""
"A171","Tuberculome des méninges",""
"A178","Abcès tuberculeux du cerveau [G07]
Méningoencéphalite tuberculeuse [G05.0]
Myélite tuberculeuse [G05.0]
Polynévrite tuberculeuse [G63.0]
Tuberculome  de  cerveau [G07]
Tuberculome  de  moelle épinière [G07]
Tuberculose  de  cerveau [G07]
Tuberculose  de  moelle épinière [G07]",""
"A180","Arthrite [M01.1]   tuberculeuse
Mastoïdite [H75.0]   tuberculeuse
Ostéite [M90.0]   tuberculeuse
Ostéomyélite [M90.0]   tuberculeuse
Ostéonécrose [M90.0]   tuberculeuse
Synovite [M68.0]   tuberculeuse
Ténosynovite [M68.0]   tuberculeuse
Tuberculose de :
 - colonne vertébrale [mal de Pott] [M49.0] 
 - genou [tumeur blanche du genou] [M01.1] 
 - hanche [M01.1]",""
"A181","Affection inflammatoire tuberculeuse des organes pelviens de la femme [N74.1]
Tuberculose (de) :
 - col de l'utérus [N74.0] 
 - organes génitaux de l'homme [N51.-] 
 - rénale [N29.1] 
 - uretère [N29.1] 
 - vessie [N33.0]",""
"A182","Adénite tuberculeuse","adénopathie tuberculeuse trachéobronchique [A15.4]  [A16.3]
tuberculose des ganglions :
 - intrathoraciques [A15.4]  [A16.3] 
 - mésentériques et rétropéritonéaux [A18.3]"
"A183","Ascite  tuberculeuse
Entérite [K93.0]   tuberculeuse
Péritonite [K67.3]   tuberculeuse
Tuberculose (de) :
 - anus et rectum [K93.0] 
 - intestin (côlon) (grêle) [K93.0] 
 - rétropéritonéale (ganglions lymphatiques)",""
"A184","Érythème induré tuberculeux
Lupus :
 - exedens
 - vulgaire (de) :
  - SAI
  - paupière [H03.1] 
Scrofuloderme","lupus érythémateux  [L93.-]  - disséminé [M32.-]"
"A185","Choriorétinite [H32.0]   tuberculeuse
Épisclérite [H19.0]   tuberculeuse
Iridocyclite [H22.0]   tuberculeuse
Kératite interstitielle [H19.2]   tuberculeuse
Kératoconjonctivite (interstitielle) (phlycténulaire) [H19.2]   tuberculeuse","lupus vulgaire de la paupière [A18.4]"
"A186","Otite moyenne tuberculeuse [H67.0]","mastoïdite tuberculeuse [A18.0]"
"A187","Maladie d'Addison tuberculeuse",""
"A188","Artérite cérébrale tuberculeuse [I68.1]
Tuberculose de :
 - endocarde [I39.8] 
 - myocarde [I41.0] 
 - œsophage [K23.0] 
 - péricarde [I32.0] 
 - thyroïde [E35.0]",""
"A19","polysérite tuberculeuse
tuberculose :
 - disséminée
 - généralisée",""
"A20","infection à Yersinia pseudotuberculosis subsp. pestis [Yersinia pestis]",""
"A208","Peste :
 - abortive
 - asymptomatique
 - mineure",""
"A21","fièvre (de) :
 - mouche du daim
 - transmise par le lapin
infection à Francisella tularensis subsp. tularensis [Francisella tularensis]",""
"A211","Tularémie ophtalmique",""
"A213","Tularémie abdominale",""
"A22","infection à Bacillus anthracis",""
"A220","Anthrax malin
Pustule maligne",""
"A221","Charbon par inhalation
Maladie des :
 - chiffonniers
 - trieurs de laine",""
"A228","Méningite charbonneuse [G01]",""
"A23","fièvre (de) :
 - Malte
 - méditerranéenne
 - ondulante",""
"A240","Infection à :
 - Burkholderia mallei
 - Pseudomonas mallei",""
"A241","Mélioïdose :
 - pulmonaire
 - septicémique",""
"A244","Infection à :
 - Burkholderia pseudomallei SAI
 - Pseudomonas pseudomallei SAI
Maladie de Whitmore",""
"A250","Sodoku",""
"A251","Érythème arthritique épidémique
Fièvre (de) :
 - Haverhill
 - streptobacillaire causée par morsure de rat",""
"A260","Érythème migrant [rouget du porc]",""
"A270","Leptospirose à Leptospira interrogans serovar icterohaemorrhagiae",""
"A282","","entérite à Yersinia enterocolitica [A04.6]
peste [A20.-]"
"A30","infection à Mycobacterium leprae","séquelles de lèpre [B92]"
"A300","Groupe indéterminé (I)",""
"A301","Forme tuberculoïde (T)
Tuberculoïde polaire (TT)",""
"A302","Borderline tuberculoïde (BT)",""
"A303","Borderline (BB) proprement dite",""
"A304","Borderline lépromateuse (BL)",""
"A305","Forme lépromateuse (L)
Lépromateuse polaire (LL)",""
"A309","","séquelles de lèpre [B92]"
"A31","","lèpre [A30.-]
tuberculose [A15-A19]"
"A310","Infection à Mycobacterium :
 - avium
 - intracellulare [bacille de Battey]
 - kansasii",""
"A311","Infection par Mycobacterium :
 - marinum
 - ulcerans
Ulcère de Buruli",""
"A319","Infection atypique à Mycobacterium SAI
Mycobactériose SAI","lèpre [A30.-]
tuberculose [A15-A19]"
"A32","infection listérienne d'origine alimentaire","listériose du nouveau-né (disséminée) [P37.2]"
"A321","Méningite [G01]   listérienne
Méningoencéphalite [G05.0]   listérienne",""
"A328","Artérite cérébrale [I68.1]   listérienne
Endocardite [I39.8]   listérienne
Listériose oculoglandulaire",""
"A329","","listériose du nouveau-né (disséminée) [P37.2]"
"A35","Tétanos SAI","tétanos :
 - du nouveau-né [A33] 
 - obstétrical [A34]"
"A360","Angine diphtérique pseudomembraneuse
Diphtérie amygdalienne",""
"A362","Laryngotrachéite diphtérique",""
"A363","","érythrasma [L08.1]"
"A368","Conjonctivite [H13.1]   diphtérique
Myocardite [I41.0]   diphtérique
Polynévrite [G63.0]   diphtérique",""
"A38","","angine à streptocoques [J02.0]"
"A391","Surrénalite hémorragique à méningocoques
Syndrome méningococcique surrénalien",""
"A394","Bactériémie méningococcique SAI",""
"A395","Cardite méningococcique SAI [I52.0]
Endocardite [I39.8]   méningococcique
Myocardite [I41.0]   méningococcique
Péricardite [I32.0]   méningococcique",""
"A398","Arthrite [M01.0]   méningococcique
Conjonctivite [H13.1]   méningococcique
Encéphalite [G05.0]   méningococcique
Névrite rétrobulbaire [H48.1]   méningococcique
Arthrite postméningococcique [M03.0]",""
"A399","Maladie méningococcique SAI",""
"A40","","après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85]"
"A403","Sepsis à pneumocoques",""
"A409","","après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85]"
"A41","","au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2]"
"A411","Sepsis à staphylocoques coagulase-négatifs",""
"A414","","gangrène gazeuse [A48.0]"
"A415","Sepsis à microorganismes Gram négatif SAI",""
"A419","Septicémie","au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2]"
"A42","","actinomycétome [B47.1]"
"A429","","actinomycétome [B47.1]"
"A440","Fièvre de Oroya",""
"A441","Verruga peruana",""
"A46","","érysipèle du postpartum ou puerpéral [O86.8]"
"A48","","actinomycétome [B47.1]"
"A480","Myonécrose  à Clostridium
Phlegmon  à Clostridium",""
"A481","Légionellose",""
"A483","","choc endotoxique SAI [R57.8]
sepsis SAI [A41.9]"
"A484","Infection généralisée à Haemophilus aegyptius",""
"A49","","agents bactériens, cause de maladies classées dans d'autres chapitres [B95-B96]
infection (à) :
 - Chlamydia SAI [A74.9] 
 - méningococcique SAI [A39.9] 
 - rickettsies SAI [A79.9] 
 - spirochètes SAI [A69.9]"
"A499","Bactériémie SAI","agents bactériens, cause de maladies classées dans d'autres chapitres [B95-B96]
infection (à) :
 - Chlamydia SAI [A74.9] 
 - méningococcique SAI [A39.9] 
 - rickettsies SAI [A79.9] 
 - spirochètes SAI [A69.9]"
"A50-A64","","maladies dues au virus de l'immunodéficience humaine [VIH] [B20-B24]
syndrome de Reiter [M02.3]
urétrite non spécifique et non gonococcique [N34.1]"
"A500","Toute manifestation d'une syphilis congénitale précisée comme étant précoce, ou évidente moins de deux ans après la naissance .
Laryngite  syphilitique congénitale précoce
Oculopathie  syphilitique congénitale précoce
Ostéochondropathie  syphilitique congénitale précoce
Pharyngite  syphilitique congénitale précoce
Pneumopathie  syphilitique congénitale précoce
Rhinite  syphilitique congénitale précoce
Syphilis congénitale précoce :
 - cutanée
 - cutanéomuqueuse
 - viscérale",""
"A501","Syphilis congénitale sans signes cliniques, avec réaction sérologique positive et réaction négative dans le liquide céphalorachidien, moins de deux ans après la naissance.",""
"A502","Syphilis congénitale SAI moins de deux ans après la naissance.",""
"A503","Kératite interstitielle syphilitique congénitale tardive [H19.2]
Oculopathie syphilitique congénitale tardive NCA [H58.8]","triade de Hutchinson [A50.5]"
"A504","Démence paralytique  juvénile
Paralysie générale  juvénile
Syphilis nerveuse tabétique  juvénile
Tabès  juvénile
Encéphalite [G05.0]   syphilitique congénitale tardive
Méningite [G01]   syphilitique congénitale tardive
Polynévrite [G63.0]   syphilitique congénitale tardive","triade de Hutchinson [A50.5]"
"A505","Toute forme de syphilis congénitale précisée tardive, ou évidente deux ans au moins après la naissance.
Arthropathie [M03.1]   syphilitique congénitale tardive
Ostéochondropathie [M90.2]   syphilitique congénitale tardive
Dents de Hutchinson
Maladie de Clutton [M03.1]
Nez en selle attribuable à la syphilis
Syphilis cardiovasculaire congénitale tardive [I98.0]
Triade de Hutchinson",""
"A506","Syphilis congénitale sans signes cliniques, avec réaction sérologique positive et réaction négative dans le liquide céphalorachidien, deux ans au moins après la naissance.",""
"A507","Syphilis congénitale SAI, deux ans au moins après la naissance.",""
"A510","Chancre syphilitique SAI",""
"A513","Alopécie [L99.8]   syphilitique
Leucodermie [L99.8]   syphilitique
Plaque muqueuse  syphilitique
Condylome plat",""
"A514","Affection inflammatoire des organes pelviens de la femme [N74.2]   syphilitique secondaire
Iridocyclite [H22.0]   syphilitique secondaire
Lymphadénopathie  syphilitique secondaire
Méningite [G01]   syphilitique secondaire
Myosite [M63.0]   syphilitique secondaire
Oculopathie NCA [H58.8]   syphilitique secondaire
Périostite [M90.1]   syphilitique secondaire",""
"A515","Syphilis (acquise) sans signes cliniques, avec réaction sérologique positive et réaction négative dans le liquide céphalorachidien, moins de deux ans après l'infection.",""
"A520","Anévrisme syphilitique de l'aorte [I79.0]
Aortite [I79.1]   syphilitique
Artérite cérébrale [I68.1]   syphilitique
Endocardite SAI [I39.8]   syphilitique
Insuffisance aortique [I39.1]   syphilitique
Insuffisance pulmonaire [I39.3]   syphilitique
Myocardite [I41.0]   syphilitique
Péricardite [I32.0]   syphilitique
Syphilis cardiovasculaire SAI [I98.0]",""
"A521","Arthropathie syphilitique (tabétique) [M14.6]
Atrophie optique [H48.0]   syphilitique tardive
Encéphalite [G05.0]   syphilitique tardive
Méningite [G01]   syphilitique tardive
Névrite :
 - acoustique [H94.0]  syphilitique tardive 
 - rétrobulbaire [H48.1]  syphilitique tardive 
 Polynévrite [G63.0]   syphilitique tardive 
 Parkinsonisme syphilitique [G22]  
Tabès","Arthropathie de Charcot :
 - SAI [G98] 
 - non syphilitique  [G98]"
"A523","Gomme (syphilitique)  du système nerveux central SAI
Syphilis (tardive)  du système nerveux central SAI
Syphilome  du système nerveux central SAI",""
"A527","Affection inflammatoire des organes pelviens de la femme [N74.2]   syphilitique tardive
Bursite [M73.1]   syphilitique tardive
Choriorétinite [H32.0]   syphilitique tardive
Épisclérite [H19.0]   syphilitique tardive
Leucodermie [L99.8]   syphilitique tardive
Oculopathie NCA [H58.8]   syphilitique tardive
Péritonite [K67.2]   syphilitique tardive
Glomérulite syphilitique [N08.0]
Gomme (syphilitique)  toute localisation, sauf celles classées en A52.0-A52.3
Syphilis tardive ou tertiaire  toute localisation, sauf celles classées en A52.0-A52.3
Synovite syphilitique [stade non précisé] [M68.0]
Syphilis [stade non précisé] :
 - hépatique [K77.0] 
 - musculaire [M63.0] 
 - osseuse [M90.2] 
 - pulmonaire [J99.8]",""
"A528","Syphilis (acquise), sans symptômes cliniques, avec réaction sérologique positive et réaction négative dans le liquide céphalorachidien, deux ans au moins après l'infection.",""
"A530","Sérologie syphilitique positive
Syphilis latente SAI",""
"A539","Infection due à Treponema pallidum SAI
Syphilis (acquise) SAI","syphilis SAI entraînant la mort avant l'âge de deux ans [A50.2]"
"A540","Cervicite  gonococcique SAI
Cystite  gonococcique SAI
Urétrite  gonococcique SAI
Vulvovaginite  gonococcique SAI","avec abcès (des) :
 - glandes génito-urinaires [A54.1] 
 - périurétral [A54.1]"
"A541","Abcès gonococcique des glandes de Bartholin",""
"A542","Affection inflammatoire des organes pelviens de la femme [N74.3]   gonococcique
Épididymite [N51.1]   gonococcique
Orchite [N51.1]   gonococcique
Prostatite [N51.0]   gonococcique","péritonite gonococcique [A54.8]"
"A543","Conjonctivite [H13.1]   gonococcique
Iridocyclite [H22.0]   gonococcique
Ophtalmie gonococcique du nouveau-né",""
"A544","Arthrite [M01.3]   gonococcique
Bursite [M73.0]   gonococcique
Ostéomyélite [M90.2]   gonococcique
Synovite [M68.0]   gonococcique
Ténosynovite [M68.0]   gonococcique",""
"A548","Abcès du cerveau [G07]   gonococcique(s)
Endocardite [I39.8]   gonococcique(s)
Lésions cutanées  gonococcique(s)
Méningite [G01]   gonococcique(s)
Myocardite [I41.0]   gonococcique(s)
Péricardite [I32.0]   gonococcique(s)
Péritonite [K67.1]   gonococcique(s)
Pneumopathie [J17.0]   gonococcique(s)
Sepsis  gonococcique(s)","pelvipéritonite gonococcique [A54.2]"
"A55","Bubon climatique ou tropical
Esthiomène
Lymphogranulomatose inguinale
Maladie de (Durand–)Nicolas–Favre",""
"A56","infections à Chlamydia trachomatis transmises par voie sexuelle","conjonctivite à Chlamydia du nouveau-né [P39.1]
lymphogranulomatose à Chlamydia [A55]
maladies classées en A74.-
pneumopathie congénitale à Chlamydia [P23.1]"
"A560","Cervicite  à Chlamydia
Cystite  à Chlamydia
Urétrite  à Chlamydia
Vulvovaginite  à Chlamydia",""
"A561","Affection inflammatoire des organes pelviens de la femme [N74.4]   à Chlamydia
Épididymite [N51.1]   à Chlamydia
Orchite [N51.1]   à Chlamydia",""
"A57","Chancrelle",""
"A58","Donovanose",""
"A59","","trichomonase intestinale [A07.8]"
"A590","Leucorrhée (vaginale)  à Trichomonas (vaginalis)
Prostatite [N51.0]   à Trichomonas (vaginalis)",""
"A599","","trichomonase intestinale [A07.8]"
"A600","Infection des organes génitaux par le virus de l'herpès :
 - femme [N77.0-N77.1] 
 - homme [N51.-]",""
"A63","","molluscum contagiosum [B08.1]
papillome du col de l'utérus [D26.0]"
"A64","Maladie vénérienne SAI",""
"A65","Béjel
Njovera
Syphilis endémique",""
"A65-A69","","leptospirose [A27.-]
syphilis [A50-A53]"
"A66","bouba
frambœsia",""
"A660","Chancre pianique
Frambœsia initiale ou primaire
Pian mère
Ulcère frambœsial initial",""
"A661","Frambœsome
Papillome pianique plantaire ou palmaire
Pianome",""
"A662","Frambœside du pian récent
Pian cutané, moins de cinq ans après l'infection
Pian récent (cutané) (maculaire) (maculopapulaire) (micropapulaire) (papulaire)",""
"A663","Hyperkératose palmaire ou plantaire (précoce) (tardive), due au pian
Main de vampire
Pianides plantaires hyperkératosiques et trichophytoïdes",""
"A664","Frambœside gommeuse
Pian tardif nodulaire (ulcéré)",""
"A665","Rhinopharyngite mutilante",""
"A666","Gomme osseuse  du pian (tardif)
Goundou  du pian (tardif)
Ostéite ou périostite gommeuse  du pian (tardif)
Hydarthrose  du pian (précoce) (tardif)
Nodule  du pian (précoce) (tardif)
Ostéite  du pian (précoce) (tardif)
Périostite (hypertrophique)  du pian (précoce) (tardif)",""
"A667","Lésions muqueuses pianiques
Nodules juxtaarticulaires pianiques",""
"A668","Pian sans signes cliniques, avec sérologie positive",""
"A670","Chancre (initial)  de la pinta [caraté]
Papule (initiale)  de la pinta [caraté]",""
"A671","Hyperkératose  de la pinta [caraté]
Lésions hyperchromiques  de la pinta [caraté]
Plaques érythémateuses  de la pinta [caraté]
Pintides",""
"A672","Lésions cardiovasculaires [I98.1]   de la pinta [caraté]
Lésions cutanées :   de la pinta [caraté]
• achromiques  de la pinta [caraté]
• cicatricielles  de la pinta [caraté]
• dyschromiques  de la pinta [caraté]",""
"A673","Lésions cutanées achromiques avec lésions cutanées hyperchromiques de la pinta [caraté]",""
"A68","typhus récurrent","maladie de Lyme [A69.2]"
"A680","Fièvre récurrente à Borrelia recurrentis",""
"A681","Fièvre récurrente à Borrelia, sauf Borrelia recurrentis",""
"A689","","maladie de Lyme [A69.2]"
"A690","Cancrum oris
Gangrène à fusospirochètes
Noma
Stomatite gangréneuse",""
"A691","Angine  de Vincent
Gingivite  de Vincent
Gingivite  ulcéronécrotique (aigüe)
Gingivostomatite  ulcéronécrotique (aigüe)
Pharyngite à fusospirochètes
Stomatite à fusospirochètes",""
"A692","Érythème chronique migrateur à Borrelia burgdorferi",""
"A70","Ornithose
Psittacose",""
"A71","","séquelles de trachome [B94.0]"
"A710","Trachoma dubium",""
"A711","Conjonctivite :
 - folliculaire trachomateuse
 - granuleuse (trachomateuse)
Pannus trachomateux",""
"A719","","séquelles de trachome [B94.0]"
"A74","","conjonctivite à Chlamydia du nouveau-né [P39.1]
infections à Chlamydia transmises par voie sexuelle [A55-A56]
pneumopathie (à) :
 - Chlamydia [J16.0]   - congénitale [P23.1]"
"A740","Paratrachome",""
"A748","Péritonite à Chlamydia [K67.0]",""
"A749","Chlamydiose SAI","conjonctivite à Chlamydia du nouveau-né [P39.1]
infections à Chlamydia transmises par voie sexuelle [A55-A56]
pneumopathie (à) :
 - Chlamydia [J16.0]   - congénitale [P23.1]"
"A75","","rickettsiose due à Neorickettsia sennetsu [Ehrlichia sennetsu] [A79.8]"
"A750","Typhus :
 - classique
 - épidémique (à poux)
 - exanthématique",""
"A751","Maladie de Brill–Zinsser",""
"A752","Typhus murin (à puces)",""
"A753","Fièvre fluviale du Japon
Typhus des broussailles",""
"A759","","rickettsiose due à Neorickettsia sennetsu [Ehrlichia sennetsu] [A79.8]"
"A770","Fièvre (de) :
 - pourprée des Montagnes rocheuses
 - Sao Paulo [maculeuse brésilienne]",""
"A771","Fièvre (à) (de) :
 - boutonneuse
 - exanthématique méditerranéenne
 - indienne à tiques
 - Marseille
 - tiques du Kenya
Typhus africain à tiques",""
"A772","Fièvre russo-asiatique
Typhus à tiques de Sibérie",""
"A773","Fièvre à tiques du Queensland",""
"A779","Typhus à tiques SAI",""
"A78","Fièvre (du) :
 - Montana
 - quadrilatérale
Infection à Coxiella burnetii",""
"A790","Fièvre (de) :
 - quintane
 - Volhynie",""
